"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","8.1","","","","1"
"1991","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","10.3","","","","1"
"1992","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","11.2","","","","1"
"1993","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","11.4","","","","1"
"1994","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","10.4","","","","1"
"1995","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","9.5","","","","1"
"1996","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","9.6","","","","1"
"1997","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","9.1","","","","1"
"1998","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","8.3","","","","1"
"1999","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.6","","","","1"
"2000","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.8","","","","1"
"2001","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.2","","","","1"
"2002","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.7","","","","1"
"2003","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.6","","","","1"
"2004","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.2","","","","1"
"2005","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.8","","","","1"
"2006","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.5","","","","1"
"2007","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.2","","","","1"
"2008","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.3","","","","1"
"2009","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","8.5","","","","1"
"2010","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","8.2","","","","1"
"2011","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.6","","","","1"
"2012","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.4","","","","1"
"2013","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.1","","","","1"
"2014","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.0","","","","1"
"2015","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.9","","","","1"
"2016","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.0","","","","1"
"2017","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","6.4","","","","1"
"2018","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","5.8","","","","1"
"2019","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","5.7","","","","1"
"2020","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","9.7","","","","1"
"2021","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","7.5","","","","1"
"2022","Canada","2016A000011124","Unemployment rate","Both sexes","15 years and over","Percentage","242","units","0","v1063541804","1.8.1.1","5.3","","","","1"
"1990","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","8.2","","","","1"
"1991","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","10.8","","","","1"
"1992","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","12.0","","","","1"
"1993","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","11.9","","","","1"
"1994","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","10.9","","","","1"
"1995","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","9.8","","","","1"
"1996","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","9.9","","","","1"
"1997","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","9.3","","","","1"
"1998","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","8.5","","","","1"
"1999","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.8","","","","1"
"2000","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","6.9","","","","1"
"2001","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.5","","","","1"
"2002","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","8.1","","","","1"
"2003","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.9","","","","1"
"2004","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.5","","","","1"
"2005","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.0","","","","1"
"2006","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","6.7","","","","1"
"2007","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","6.5","","","","1"
"2008","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","6.7","","","","1"
"2009","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","9.6","","","","1"
"2010","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","8.9","","","","1"
"2011","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","8.1","","","","1"
"2012","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.8","","","","1"
"2013","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.6","","","","1"
"2014","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.5","","","","1"
"2015","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.5","","","","1"
"2016","Canada","2016A000011124","Unemployment rate","Males","15 years and over","Percentage","242","units","0","v1063541826","1.8.2.1","7.7","","","","1"
